iter	Passed	Remaining
0	146	145867
1	147	73366
2	147	49158
3	148	37042
4	149	29782
5	150	24955
6	151	21493
7	152	18894
8	153	16876
9	154	15263
10	155	13938
11	155	12836
12	156	11901
13	157	11111
14	158	10419
15	159	9810
16	160	9275
17	161	8799
18	162	8376
19	164	8036
20	164	7691
21	165	7372
22	166	7083
23	167	6821
24	168	6579
25	169	6350
26	170	6141
27	171	5949
28	172	5765
29	173	5595
30	174	5439
31	175	5302
32	176	5163
33	177	5034
34	178	4910
35	179	4795
36	180	4685
37	180	4580
38	181	4479
39	182	4384
40	183	4293
41	184	4210
42	185	4128
43	186	4049
44	187	3973
45	188	3903
46	189	3834
47	190	3769
48	191	3708
49	191	3647
50	192	3588
51	193	3532
52	194	3481
53	195	3428
54	196	3377
55	197	3328
56	198	3280
57	199	3237
58	200	3193
59	201	3151
60	202	3111
61	203	3072
62	203	3033
63	204	2996
64	205	2958
65	206	2922
66	207	2887
67	207	2848
68	208	2815
69	209	2784
70	210	2754
71	211	2724
72	212	2696
73	213	2669
74	214	2641
75	215	2615
76	216	2590
77	216	2563
78	217	2538
79	218	2516
80	219	2491
81	220	2468
82	221	2445
83	222	2423
84	222	2398
85	223	2376
86	224	2352
87	225	2334
88	226	2314
89	227	2296
90	228	2277
91	228	2259
92	229	2242
93	230	2224
94	231	2206
95	232	2190
96	233	2173
97	234	2157
98	235	2143
99	237	2136
100	238	2120
101	238	2101
102	239	2086
103	240	2071
104	241	2057
105	242	2042
106	243	2028
107	243	2015
108	244	2001
109	245	1987
110	246	1975
111	247	1962
112	248	1950
113	249	1940
114	250	1931
115	251	1918
116	252	1906
117	253	1894
118	254	1881
119	255	1870
120	256	1859
121	256	1849
122	257	1835
123	258	1824
124	259	1814
125	260	1804
126	261	1794
127	261	1781
128	262	1772
129	263	1763
130	264	1753
131	265	1744
132	266	1734
133	267	1726
134	268	1717
135	268	1708
136	269	1699
137	270	1689
138	271	1681
139	272	1672
140	273	1664
141	274	1655
142	274	1647
143	275	1639
144	276	1631
145	277	1623
146	278	1614
147	279	1606
148	279	1599
149	280	1591
150	281	1584
151	282	1577
152	283	1570
153	284	1562
154	285	1555
155	286	1548
156	287	1542
157	288	1535
158	288	1528
159	289	1521
160	290	1515
161	291	1508
162	292	1501
163	293	1495
164	294	1489
165	295	1483
166	296	1477
167	297	1471
168	297	1464
169	298	1458
170	299	1452
171	300	1446
172	301	1441
173	302	1435
174	303	1429
175	304	1423
176	304	1418
177	305	1412
178	306	1406
179	307	1401
180	308	1393
181	309	1389
182	310	1385
183	311	1380
184	312	1374
185	313	1369
186	314	1365
187	315	1361
188	316	1357
189	317	1353
190	318	1349
191	319	1344
192	320	1339
193	321	1334
194	322	1329
195	323	1325
196	323	1320
197	324	1316
198	325	1311
199	326	1307
200	327	1302
201	328	1298
202	329	1293
203	330	1288
204	331	1284
205	332	1279
206	332	1275
207	333	1271
208	334	1266
209	335	1262
210	336	1258
211	337	1253
212	338	1249
213	339	1245
214	339	1241
215	340	1236
216	341	1232
217	342	1228
218	343	1224
219	344	1221
220	345	1217
221	346	1213
222	347	1209
223	348	1205
224	348	1201
225	349	1197
226	350	1193
227	351	1190
228	352	1186
229	353	1182
230	354	1178
231	354	1175
232	355	1171
233	356	1167
234	357	1164
235	358	1160
236	359	1157
237	360	1153
238	361	1149
239	361	1146
240	362	1142
241	363	1139
242	364	1135
243	365	1132
244	366	1129
245	367	1125
246	368	1122
247	368	1118
248	369	1115
249	370	1111
250	371	1108
251	372	1105
252	373	1101
253	373	1098
254	374	1095
255	375	1091
256	376	1088
257	377	1085
258	378	1082
259	379	1079
260	380	1076
261	381	1074
262	382	1072
263	383	1069
264	384	1065
265	385	1063
266	386	1059
267	386	1056
268	387	1053
269	388	1050
270	389	1047
271	390	1044
272	391	1041
273	392	1038
274	392	1035
275	393	1033
276	394	1030
277	395	1027
278	396	1024
279	397	1021
280	398	1019
281	399	1016
282	400	1013
283	401	1011
284	402	1008
285	402	1005
286	403	1002
287	404	1000
288	405	997
289	406	994
290	407	992
291	408	989
292	408	986
293	409	984
294	410	981
295	411	978
296	412	976
297	413	973
298	414	971
299	415	968
300	415	965
301	416	963
302	417	960
303	418	958
304	419	955
305	420	952
306	421	950
307	421	947
308	422	945
309	423	943
310	424	940
311	425	937
312	426	935
313	427	933
314	428	930
315	428	928
316	429	926
317	430	923
318	431	921
319	432	918
320	433	916
321	433	913
322	434	911
323	435	909
324	436	906
325	437	904
326	438	902
327	439	900
328	440	897
329	441	895
330	441	893
331	442	890
332	443	888
333	444	886
334	445	884
335	446	882
336	447	880
337	448	878
338	449	875
339	450	873
340	451	871
341	451	869
342	453	868
343	454	866
344	455	864
345	456	862
346	456	859
347	457	858
348	459	856
349	459	854
350	460	852
351	461	849
352	462	847
353	463	845
354	464	843
355	465	841
356	466	839
357	466	837
358	467	835
359	468	833
360	469	831
361	470	828
362	471	826
363	471	824
364	472	822
365	473	820
366	474	818
367	475	816
368	476	814
369	477	812
370	478	810
371	479	808
372	480	806
373	480	804
374	481	802
375	482	801
376	483	799
377	484	797
378	485	795
379	486	793
380	487	791
381	487	789
382	488	787
383	489	785
384	490	783
385	491	782
386	492	780
387	493	778
388	494	776
389	495	774
390	496	772
391	497	770
392	497	769
393	498	767
394	499	765
395	500	763
396	501	761
397	502	759
398	502	757
399	503	755
400	504	754
401	505	752
402	506	750
403	507	748
404	508	746
405	509	744
406	510	743
407	510	741
408	511	739
409	512	737
410	513	735
411	514	734
412	515	732
413	516	730
414	516	728
415	517	726
416	518	725
417	519	723
418	520	721
419	521	720
420	522	718
421	523	716
422	524	715
423	526	714
424	526	712
425	527	711
426	528	709
427	529	707
428	530	705
429	531	704
430	532	702
431	533	700
432	534	699
433	535	697
434	536	696
435	536	694
436	537	692
437	538	691
438	539	689
439	540	687
440	541	686
441	542	684
442	543	682
443	543	681
444	544	679
445	545	677
446	546	676
447	547	674
448	548	672
449	549	671
450	550	669
451	550	667
452	551	666
453	552	664
454	553	663
455	554	661
456	555	659
457	556	658
458	557	656
459	558	655
460	558	653
461	559	651
462	560	650
463	561	648
464	562	647
465	563	645
466	564	643
467	564	642
468	565	640
469	566	639
470	567	637
471	568	635
472	569	634
473	570	632
474	571	631
475	571	629
476	572	628
477	573	626
478	574	624
479	575	623
480	576	621
481	577	620
482	577	618
483	578	617
484	579	615
485	580	614
486	581	612
487	582	610
488	583	609
489	584	607
490	584	606
491	585	604
492	586	603
493	587	601
494	588	600
495	589	598
496	590	597
497	590	595
498	591	594
499	592	592
500	593	591
501	594	589
502	595	587
503	595	586
504	597	585
505	598	584
506	599	582
507	600	581
508	601	579
509	602	578
510	602	576
511	603	575
512	604	574
513	605	572
514	606	571
515	607	569
516	608	568
517	609	567
518	610	565
519	611	564
520	611	562
521	612	561
522	613	559
523	614	558
524	615	556
525	616	555
526	617	553
527	618	552
528	618	551
529	619	549
530	620	548
531	621	546
532	622	545
533	623	543
534	624	542
535	625	541
536	625	539
537	626	538
538	627	536
539	628	535
540	629	534
541	630	532
542	631	531
543	632	529
544	633	528
545	633	527
546	634	525
547	635	524
548	636	522
549	637	521
550	638	520
551	639	518
552	639	517
553	640	515
554	641	514
555	642	513
556	643	511
557	644	510
558	645	508
559	646	507
560	646	506
561	647	504
562	648	503
563	649	502
564	650	500
565	651	499
566	652	498
567	653	496
568	653	495
569	654	493
570	655	492
571	656	491
572	657	489
573	658	488
574	659	487
575	660	485
576	660	484
577	661	483
578	662	481
579	663	480
580	664	479
581	665	477
582	666	476
583	667	475
584	668	473
585	669	473
586	670	471
587	671	470
588	672	469
589	673	467
590	674	466
591	675	465
592	675	463
593	676	462
594	677	461
595	678	459
596	679	458
597	680	457
598	681	456
599	682	455
600	684	454
601	685	452
602	686	451
603	686	450
604	687	449
605	688	447
606	689	446
607	690	445
608	691	443
609	692	442
610	693	441
611	694	440
612	694	438
613	695	437
614	696	436
615	697	434
616	698	433
617	699	432
618	700	430
619	701	429
620	701	428
621	702	427
622	703	425
623	704	424
624	705	423
625	706	421
626	706	420
627	707	419
628	708	418
629	709	416
630	710	415
631	711	414
632	712	412
633	713	411
634	713	410
635	714	409
636	715	407
637	716	406
638	717	405
639	718	403
640	719	402
641	719	401
642	720	400
643	721	398
644	722	397
645	723	396
646	724	395
647	725	394
648	726	392
649	727	391
650	728	390
651	729	389
652	729	387
653	730	386
654	731	385
655	732	384
656	733	382
657	734	381
658	735	380
659	736	379
660	736	377
661	737	376
662	738	375
663	739	374
664	740	373
665	742	372
666	743	371
667	744	369
668	745	368
669	746	367
670	746	366
671	747	364
672	748	363
673	749	362
674	750	361
675	751	360
676	752	358
677	753	357
678	753	356
679	754	355
680	755	354
681	756	352
682	757	351
683	758	350
684	759	349
685	760	348
686	761	346
687	762	345
688	763	344
689	764	343
690	765	342
691	765	340
692	766	339
693	767	338
694	768	337
695	769	336
696	770	334
697	771	333
698	772	332
699	773	331
700	774	330
701	775	328
702	775	327
703	776	326
704	777	325
705	778	324
706	779	322
707	780	321
708	780	320
709	781	319
710	782	318
711	783	316
712	784	315
713	785	314
714	786	313
715	786	312
716	787	310
717	788	309
718	789	308
719	790	307
720	791	306
721	792	305
722	793	303
723	793	302
724	794	301
725	795	300
726	796	299
727	797	297
728	798	296
729	799	295
730	800	294
731	801	293
732	802	292
733	802	290
734	803	289
735	804	288
736	805	287
737	806	286
738	807	285
739	808	284
740	809	282
741	810	281
742	810	280
743	811	279
744	812	278
745	814	277
746	815	276
747	816	274
748	817	273
749	818	272
750	818	271
751	819	270
752	820	269
753	821	268
754	822	266
755	823	265
756	824	264
757	824	263
758	825	262
759	826	261
760	827	259
761	828	258
762	829	257
763	830	256
764	831	255
765	832	254
766	833	253
767	834	251
768	835	250
769	835	249
770	836	248
771	837	247
772	838	246
773	839	245
