iter	Passed	Remaining
0	133	133545
1	134	67292
2	136	45230
3	137	34209
4	138	27591
5	139	23166
6	141	20057
7	143	17838
8	145	15995
9	146	14518
10	147	13305
11	149	12290
12	150	11423
13	151	10702
14	153	10075
15	155	9534
16	157	9087
17	158	8650
18	160	8264
19	162	7946
20	163	7620
21	164	7325
22	166	7060
23	167	6808
24	169	6593
25	171	6409
26	172	6217
27	173	6035
28	175	5861
29	176	5698
30	177	5548
31	178	5408
32	180	5277
33	181	5151
34	182	5031
35	184	4933
36	186	4865
37	188	4769
38	189	4678
39	191	4588
40	192	4498
41	193	4413
42	194	4336
43	196	4268
44	198	4213
45	199	4147
46	201	4082
47	202	4021
48	203	3959
49	205	3900
50	206	3844
51	207	3788
52	209	3736
53	210	3684
54	211	3639
55	213	3594
56	214	3548
57	215	3505
58	217	3461
59	218	3420
60	219	3378
61	220	3339
62	221	3301
63	223	3263
64	224	3228
65	225	3195
66	229	3192
67	231	3170
68	233	3143
69	234	3112
70	235	3081
71	236	3051
72	237	3021
73	239	2993
74	240	2970
75	243	2954
76	244	2928
77	245	2903
78	246	2877
79	247	2851
80	249	2826
81	250	2802
82	250	2772
83	252	2748
84	253	2726
85	254	2706
86	256	2688
87	257	2669
88	258	2649
89	260	2629
90	261	2609
91	262	2590
92	263	2571
93	264	2552
94	266	2535
95	267	2516
96	268	2499
97	270	2490
98	272	2476
99	273	2461
100	274	2446
101	276	2430
102	277	2414
103	278	2399
104	280	2393
105	282	2379
106	283	2364
107	284	2351
108	286	2343
109	287	2330
110	289	2317
111	290	2304
112	291	2291
113	293	2279
114	294	2265
115	295	2252
116	296	2237
117	297	2225
118	300	2224
119	302	2215
120	303	2205
121	304	2193
122	306	2182
123	307	2170
124	308	2158
125	309	2146
126	310	2134
127	311	2123
128	313	2113
129	317	2125
130	319	2117
131	320	2108
132	321	2098
133	323	2088
134	324	2080
135	326	2071
136	327	2062
137	329	2055
138	331	2051
139	332	2042
140	334	2036
141	335	2025
142	336	2017
143	338	2009
144	339	2001
145	340	1992
146	341	1984
147	343	1974
148	344	1967
149	346	1962
150	347	1954
151	348	1946
152	350	1938
153	351	1929
154	352	1921
155	353	1914
156	355	1906
157	356	1898
158	357	1890
159	359	1885
160	361	1881
161	362	1875
162	364	1869
163	365	1862
164	366	1855
165	367	1847
166	369	1841
167	370	1834
168	371	1826
169	373	1821
170	375	1820
171	377	1815
172	378	1809
173	380	1804
174	381	1798
175	382	1791
176	384	1785
177	386	1783
178	387	1777
179	389	1775
180	391	1770
181	392	1765
182	394	1759
183	395	1753
184	396	1748
185	398	1742
186	399	1737
187	401	1733
188	403	1729
189	405	1729
190	407	1724
191	408	1719
192	409	1713
193	411	1708
194	412	1702
195	413	1697
196	414	1691
197	416	1686
198	417	1681
199	419	1678
200	421	1673
201	422	1668
202	423	1663
203	425	1658
204	426	1653
205	427	1648
206	428	1642
207	430	1638
208	431	1633
209	433	1629
210	434	1625
211	436	1620
212	437	1616
213	438	1611
214	439	1606
215	441	1600
216	442	1595
217	443	1592
218	445	1587
219	446	1583
220	448	1580
221	451	1581
222	453	1579
223	454	1576
224	456	1573
225	459	1572
226	460	1567
227	464	1573
228	466	1569
229	467	1565
230	468	1561
231	470	1557
232	471	1553
233	473	1548
234	474	1545
235	476	1541
236	478	1539
237	479	1535
238	480	1531
239	482	1526
240	483	1522
241	484	1518
242	487	1518
243	489	1515
244	490	1512
245	492	1508
246	495	1509
247	496	1506
248	497	1501
249	499	1497
250	500	1493
251	501	1489
252	502	1484
253	504	1481
254	505	1477
255	506	1473
256	508	1471
257	510	1467
258	511	1464
259	513	1460
260	514	1458
261	516	1454
262	517	1450
263	518	1446
264	520	1442
265	521	1440
266	523	1438
267	525	1434
268	526	1430
269	527	1427
270	529	1424
271	530	1420
272	532	1417
273	533	1413
274	534	1410
275	536	1407
276	538	1406
277	540	1404
278	542	1400
279	543	1397
280	544	1394
281	546	1390
282	547	1386
283	548	1382
284	549	1379
285	551	1376
286	553	1375
287	554	1371
288	556	1369
289	558	1366
290	559	1362
291	560	1359
292	562	1356
293	563	1353
294	564	1349
295	566	1347
296	568	1344
297	569	1342
298	571	1338
299	572	1335
300	573	1332
301	574	1328
302	576	1325
303	577	1322
304	578	1318
305	580	1316
306	583	1316
307	585	1315
308	586	1312
309	588	1309
310	589	1305
311	590	1302
312	591	1299
313	593	1295
314	594	1292
315	596	1291
316	598	1289
317	600	1287
318	601	1284
319	602	1281
320	604	1278
321	605	1274
322	606	1272
323	608	1269
324	610	1267
325	611	1264
326	613	1261
327	614	1259
328	615	1256
329	617	1252
330	618	1249
331	619	1246
332	620	1242
333	621	1240
334	623	1237
335	624	1234
336	629	1237
337	630	1234
338	631	1232
339	633	1229
340	634	1226
341	636	1223
342	637	1220
343	638	1218
344	641	1217
345	642	1214
346	644	1212
347	645	1209
348	646	1206
349	648	1203
350	649	1200
351	650	1197
352	652	1195
353	653	1192
354	655	1190
355	656	1187
356	658	1185
357	659	1183
358	661	1180
359	662	1177
360	663	1175
361	665	1172
362	666	1169
363	667	1166
364	669	1165
365	672	1165
366	674	1163
367	675	1160
368	676	1157
369	678	1154
370	679	1152
371	680	1149
372	682	1146
373	684	1145
374	686	1143
375	687	1141
376	689	1138
377	690	1136
378	691	1133
379	693	1131
380	694	1128
381	696	1126
382	697	1123
383	699	1121
384	700	1119
385	702	1117
386	703	1115
387	705	1112
388	706	1109
389	708	1107
390	709	1105
391	710	1102
392	712	1099
393	715	1099
394	716	1098
395	718	1095
396	719	1092
397	720	1090
398	722	1087
399	723	1085
400	725	1083
401	726	1081
402	728	1079
403	730	1077
404	732	1076
405	733	1073
406	735	1070
407	736	1068
408	737	1065
409	738	1063
410	740	1060
411	741	1057
412	743	1056
413	744	1054
414	746	1051
415	747	1049
416	748	1046
417	750	1045
418	752	1043
419	753	1040
420	754	1038
421	756	1035
422	757	1033
423	760	1032
424	761	1030
425	762	1027
426	763	1025
427	765	1022
428	766	1020
429	767	1017
430	768	1015
431	770	1012
432	771	1010
433	773	1008
434	774	1006
435	776	1003
436	777	1001
437	778	998
438	779	996
439	781	994
440	782	991
441	783	989
442	784	986
443	786	984
444	787	982
445	789	980
446	790	978
447	791	975
448	793	973
449	794	971
450	796	969
451	797	967
452	799	965
453	800	963
454	804	963
455	805	961
456	807	959
457	808	956
458	809	954
459	811	952
460	812	950
461	813	947
462	815	945
463	817	944
464	819	942
465	821	941
466	822	939
467	824	936
468	825	934
469	826	932
470	828	930
471	830	928
472	831	926
473	833	924
474	835	923
475	836	920
476	838	918
477	839	916
478	840	914
479	842	912
480	843	910
481	845	908
482	848	908
483	850	906
484	851	904
485	853	902
486	854	899
487	855	897
488	856	895
489	858	893
490	859	891
491	862	890
492	864	888
493	865	886
494	867	884
495	868	882
496	869	880
497	871	878
498	873	876
499	874	874
500	877	873
501	878	871
502	880	869
503	881	867
504	882	865
505	884	863
506	885	861
507	887	859
508	889	857
509	892	857
510	894	855
511	896	854
512	897	852
513	899	850
514	900	848
515	902	846
516	903	844
517	905	842
518	907	841
519	909	839
520	910	837
521	912	835
522	913	833
523	914	831
524	916	828
525	917	826
526	918	824
527	921	823
528	922	821
529	924	819
530	926	818
531	927	816
532	929	814
533	930	812
534	931	810
535	934	808
536	939	809
537	941	808
538	943	806
539	944	804
540	946	803
541	948	801
542	952	801
543	954	799
544	955	798
545	957	796
546	959	794
547	960	792
548	962	790
549	964	789
550	966	787
551	969	786
552	971	785
553	972	783
554	974	781
555	975	779
556	977	777
557	979	776
558	984	776
559	986	775
560	988	773
561	990	772
562	992	770
563	996	770
564	999	769
565	1001	768
566	1003	766
567	1005	765
568	1007	763
569	1010	762
570	1012	760
571	1014	759
572	1018	758
573	1020	757
574	1022	755
575	1029	757
576	1030	755
577	1032	753
578	1033	751
579	1035	749
580	1037	747
581	1038	745
582	1041	745
583	1043	743
584	1045	741
585	1047	740
586	1049	738
587	1050	736
588	1053	734
589	1057	734
590	1060	733
591	1062	732
592	1065	731
593	1068	729
594	1070	728
595	1075	728
596	1077	727
597	1079	725
598	1081	723
599	1083	722
600	1088	722
601	1090	721
602	1093	719
603	1094	717
604	1097	716
605	1101	715
606	1105	715
607	1107	714
608	1110	712
609	1111	710
610	1113	708
611	1124	713
612	1126	710
613	1128	709
614	1130	707
615	1133	706
616	1137	705
617	1139	704
618	1141	702
619	1145	701
620	1149	701
621	1152	700
622	1154	698
623	1157	697
624	1159	695
625	1163	695
626	1167	694
627	1169	692
628	1172	691
629	1173	689
630	1179	689
631	1181	687
632	1183	686
633	1185	684
634	1188	683
635	1190	681
636	1192	679
637	1194	677
638	1196	675
639	1198	674
640	1200	672
641	1204	671
642	1210	671
643	1212	670
644	1215	668
645	1217	667
646	1220	665
647	1222	663
648	1224	662
649	1226	660
650	1235	662
651	1238	660
652	1240	658
653	1242	657
654	1249	657
655	1253	657
656	1255	655
657	1263	656
658	1267	655
659	1270	654
660	1273	652
661	1275	651
662	1276	649
663	1279	647
664	1281	645
665	1285	644
666	1286	642
667	1289	640
668	1291	638
669	1302	641
670	1304	639
671	1306	637
672	1313	638
673	1315	636
674	1316	634
675	1319	632
676	1322	631
677	1325	629
678	1327	627
679	1329	625
680	1331	623
681	1333	621
682	1335	619
683	1339	618
684	1343	617
685	1347	616
686	1349	614
687	1350	612
688	1354	611
689	1356	609
690	1358	607
691	1359	605
692	1361	603
693	1363	601
694	1365	599
695	1368	597
696	1369	595
697	1371	593
698	1373	591
699	1375	589
700	1377	587
701	1379	585
702	1385	585
703	1387	583
704	1389	581
705	1391	579
706	1394	577
707	1401	578
708	1408	578
709	1410	576
710	1413	574
711	1416	572
712	1419	571
713	1421	569
714	1423	567
715	1425	565
716	1432	565
717	1435	563
718	1436	561
719	1438	559
720	1442	558
721	1447	557
722	1449	555
723	1451	553
724	1453	551
725	1455	549
726	1459	547
727	1461	545
728	1462	543
729	1464	541
730	1467	540
731	1469	537
732	1475	537
733	1477	535
734	1479	533
735	1482	531
736	1483	529
737	1486	527
738	1490	526
739	1491	524
740	1493	522
741	1494	519
742	1496	517
743	1497	515
744	1499	513
745	1501	511
746	1503	509
747	1504	507
748	1506	504
749	1507	502
750	1509	500
751	1510	498
752	1512	496
753	1513	493
754	1515	491
755	1518	490
756	1519	487
757	1521	485
758	1522	483
759	1524	481
760	1525	479
761	1527	476
762	1528	474
763	1529	472
764	1532	470
765	1533	468
766	1535	466
